,Airport,City,State,IATA,Latitude,Longitude,Acre
339,Dallas/Fort Worth International Airport,Dallas,Texas,DFW,32.8969,-97.0381,2384.0
340,El Paso International Airport,El Paso,Texas,ELP,31.8072,-106.3775,6670.0
341,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,Fort Hood,Texas,GRK,31.0672,-97.8289,2384.0
342,Valley International Airport,Harlingen,Texas,HRL,26.2272,-97.655,2384.0
343,George Bush Intercontinental Airport,Houston,Texas,IAH,29.9844,-95.3414,10000.0
344,William P. Hobby Airport,Houston,Texas,HOU,29.6456,-95.2789,1304.0
345,Laredo International Airport,Laredo,Texas,LRD,27.5439,-99.4617,1796.0
346,East Texas Regional Airport,Longview,Texas,GGG,32.3839,-94.7114,1300.0
347,Lubbock Preston Smith International Airport,Lubbock,Texas,LBB,33.6636,-101.8206,3000.0
348,McAllen Miller International Airport,McAllen,Texas,MFE,26.1758,-98.2386,370.0
349,Midland International Airport,Midland,Texas,MAF,31.9425,-102.2019,2384.0
350,San Angelo Regional Airport,San Angelo,Texas,SJT,31.355,-100.4964,1503.0
351,San Antonio International Airport,San Antonio,Texas,SAT,29.5267,-98.4719,2305.0
352,Tyler Pounds Regional Airport,Tyler,Texas,TYR,32.3539,-95.4028,1200.0
353,Victoria Regional Airport,Victoria,Texas,VCT,28.8525,-96.9186,1766.0
354,Waco Regional Airport,Waco,Texas,ACT,31.6114,-97.2306,1369.0
355,Wichita Falls Municipal Airport / Sheppard Air Force Base,Wichita Falls,Texas,SPS,33.9889,-98.4919,2384.0
356,Cyril E. King Airport,Charlotte Amalie,U.S. Virgin Islands,STT,18.3372,-64.9733,280.0
357,Henry E Rohlsen Airport,Christiansted,U.S. Virgin Islands,STX,17.7044,-64.8017,1455.0
358,Cedar City Regional Airport,Cedar City,Utah,CDC,37.7008,-113.0989,1040.0
359,Ogden-Hinckley Airport,Ogden,Utah,OGD,41.1956,-112.0131,720.0
360,Provo Municipal Airport,Provo,Utah,PVU,40.2192,-111.7234,869.0
361,Salt Lake City International Airport,Salt Lake City,Utah,SLC,40.7883,-111.9778,2384.0
362,St. George Regional Airport,St. George,Utah,SGU,37.0364,-113.5103,1204.0
363,Burlington International Airport,Burlington,Vermont,BTV,44.4719,-73.1533,2384.0
364,Charlottesville–Albemarle Airport,Charlottesville,Virginia,CHO,38.1386,-78.4528,754.0
365,Lynchburg Regional Airport,Lynchburg,Virginia,LYH,37.3253,-79.2011,872.0
366,Newport News/Williamsburg International Airport,Newport News,Virginia,PHF,37.1319,-76.4931,1800.0
367,Norfolk International Airport,Norfolk,Virginia,ORF,36.8947,-76.2011,1300.0
368,Richmond International Airport,Richmond,Virginia,RIC,49.1947,-123.1839,2500.0
369,Roanoke Regional Airport,Roanoke,Virginia,ROA,37.3256,-79.9756,912.0
370,Ronald Reagan Washington National Airport,Washington,DC,DCA,38.8522,-77.0378,2384.0
371,Washington Dulles International Airport,Washington,DC,IAD,38.9444,-77.4558,2384.0
372,Bellingham International Airport,Bellingham,Washington,BLI,48.7925,-122.5375,2190.0
373,Friday Harbor Airport,Friday Harbor,Washington,FRD,48.5219,-123.0244,145.0
374,Tri-Cities Airport,Pasco,Washington,PSC,36.4753,-82.4075,2235.0
375,William R. Fairchild International Airport,Port Angeles,Washington,CLM,48.120278,-123.499722,797.0
376,Pullman/Moscow Regional Airport,Pullman,Washington,PUW,46.744,-117.108,467.0
377,King County International Airport,Seattle,Washington,BFI,47.53,-122.3019,634.0
378,Seattle–Tacoma International Airport,Seattle,Washington,SEA,47.4489,-122.3094,2500.0
379,Spokane International Airport,Spokane,Washington,GEG,47.62,-117.533889,6140.0
380,Walla Walla Regional Airport,Walla Walla,Washington,ALW,46.09,-118.29,2384.0
